epoch,tr_loss,tr_acc,tr_prec,tr_rec,tr_f1_macro,val_loss,val_acc,val_prec,val_rec,val_f1_macro
1,0.2171155294328928,99.825,99.82662580144871,99.82445046430574,99.82550761781691,0.17000644475221635,100.0,100.0,100.0,100.0
2,0.21008076913654805,100.0,100.0,100.0,100.0,0.16921452587842942,100.0,100.0,100.0,100.0
3,0.21546550084650518,99.88749999999999,99.8865451548766,99.89070463252307,99.88849293548733,0.16991218000650407,100.0,100.0,100.0,100.0
4,0.20965103926509618,100.0,100.0,100.0,100.0,0.16908185732364656,100.0,100.0,100.0,100.0
5,0.21013832379877567,100.0,100.0,100.0,100.0,0.17025706672668456,100.0,100.0,100.0,100.0
6,0.20986241567879915,100.0,100.0,100.0,100.0,0.16936405950784683,100.0,100.0,100.0,100.0
7,0.20943937592953443,100.0,100.0,100.0,100.0,0.16995405775308609,100.0,100.0,100.0,100.0
8,0.20941024588048457,100.0,100.0,100.0,100.0,0.16958974009752273,100.0,100.0,100.0,100.0
9,0.20940927332639694,100.0,100.0,100.0,100.0,0.1692248268723488,100.0,100.0,100.0,100.0
10,0.20922433198988438,100.0,100.0,100.0,100.0,0.16928281342983245,100.0,100.0,100.0,100.0
11,0.2088311782106757,100.0,100.0,100.0,100.0,0.16933898627758026,100.0,100.0,100.0,100.0
12,0.20897400926798582,100.0,100.0,100.0,100.0,0.16976770097017288,100.0,100.0,100.0,100.0
