epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro
1,1.1421606132984161,33.3375,1.1007533965110778,36.0,27.966661614218367
2,1.1119185757339,33.0625,1.1036700539588928,31.0,15.776081424936386
3,1.1078662512898445,33.5,1.1078675079345703,31.0,15.776081424936386
4,1.1071919042170049,32.825,1.0977125306129456,35.099999999999994,17.320503330866025
5,1.104721887677908,33.9625,1.1178649308681488,31.0,15.776081424936386
6,1.1033687473237515,32.675,1.1037721481323242,31.0,15.776081424936386
7,1.1023995231986046,33.6375,1.1085243101119995,35.099999999999994,17.320503330866025
8,1.1022056721150875,33.5,1.1001335711479188,35.099999999999994,17.320503330866025
9,1.1009787892103196,33.95,1.102502285003662,35.099999999999994,17.320503330866025
10,1.1017186064124107,33.225,1.1004914298057555,35.099999999999994,17.320503330866025
